trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,polygon_2.started,polygon_2.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,gender (m/f),age,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,873.9905503049958,None,b,1,0.2913965269981418,m,19,mingda_blue,2020_Aug_20_1111,SingleColor_blue,2020.1.3,60.04997959759319,
1,0,1,0,875.9568731459949,None,b,1,0.2290380179983913,m,19,mingda_blue,2020_Aug_20_1111,SingleColor_blue,2020.1.3,60.04997959759319,
2,0,2,0,878.0900203019992,None,b,1,0.2039062960029696,m,19,mingda_blue,2020_Aug_20_1111,SingleColor_blue,2020.1.3,60.04997959759319,
3,0,3,0,879.9572926949986,None,b,1,0.257242669002153,m,19,mingda_blue,2020_Aug_20_1111,SingleColor_blue,2020.1.3,60.04997959759319,
4,0,4,0,881.8401269599999,None,b,1,0.22636455899919383,m,19,mingda_blue,2020_Aug_20_1111,SingleColor_blue,2020.1.3,60.04997959759319,
5,0,5,0,884.0406017719943,None,b,1,0.18098687900055666,m,19,mingda_blue,2020_Aug_20_1111,SingleColor_blue,2020.1.3,60.04997959759319,
6,0,6,0,885.8903528409937,None,b,1,0.22910339499503607,m,19,mingda_blue,2020_Aug_20_1111,SingleColor_blue,2020.1.3,60.04997959759319,
7,0,7,0,887.6232295019945,None,b,1,0.27829926800040994,m,19,mingda_blue,2020_Aug_20_1111,SingleColor_blue,2020.1.3,60.04997959759319,
8,0,8,0,889.6233557399974,None,b,1,0.02589137299946742,m,19,mingda_blue,2020_Aug_20_1111,SingleColor_blue,2020.1.3,60.04997959759319,
9,0,9,0,891.6390934839947,None,b,1,0.4268859479998355,m,19,mingda_blue,2020_Aug_20_1111,SingleColor_blue,2020.1.3,60.04997959759319,
10,0,10,0,893.8732764929955,None,b,1,0.24121075400034897,m,19,mingda_blue,2020_Aug_20_1111,SingleColor_blue,2020.1.3,60.04997959759319,
11,0,11,0,896.023284582996,None,b,1,0.3016976560029434,m,19,mingda_blue,2020_Aug_20_1111,SingleColor_blue,2020.1.3,60.04997959759319,
