trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,polygon_2.started,polygon_2.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,gender (m/f),age,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,21.889098233004916,None,b,1,0.27579273100127466,m,19,mingda_green,2020_Aug_20_1120,SingleColor_green,2020.1.3,60.08453774258254,
1,0,1,0,23.772349803999532,None,b,1,0.28545318500255235,m,19,mingda_green,2020_Aug_20_1120,SingleColor_green,2020.1.3,60.08453774258254,
2,0,2,0,25.772502488005557,None,b,1,0.2531879680027487,m,19,mingda_green,2020_Aug_20_1120,SingleColor_green,2020.1.3,60.08453774258254,
3,0,3,0,27.805825595001807,None,b,1,0.2107330560029368,m,19,mingda_green,2020_Aug_20_1120,SingleColor_green,2020.1.3,60.08453774258254,
4,0,4,0,29.688752890004253,None,b,1,0.260915789003775,m,19,mingda_green,2020_Aug_20_1120,SingleColor_green,2020.1.3,60.08453774258254,
5,0,5,0,31.489414194002165,None,b,1,0.2523158319963841,m,19,mingda_green,2020_Aug_20_1120,SingleColor_green,2020.1.3,60.08453774258254,
6,0,6,0,33.489308650001476,None,b,1,0.21309477500471985,m,19,mingda_green,2020_Aug_20_1120,SingleColor_green,2020.1.3,60.08453774258254,
7,0,7,0,35.42232071000035,None,b,1,0.40792377199977636,m,19,mingda_green,2020_Aug_20_1120,SingleColor_green,2020.1.3,60.08453774258254,
8,0,8,0,37.555517134002,None,b,1,0.4734149660071125,m,19,mingda_green,2020_Aug_20_1120,SingleColor_green,2020.1.3,60.08453774258254,
9,0,9,0,39.805423703001,None,b,1,0.3359820559999207,m,19,mingda_green,2020_Aug_20_1120,SingleColor_green,2020.1.3,60.08453774258254,
10,0,10,0,42.12204131500039,None,b,1,0.3810614140020334,m,19,mingda_green,2020_Aug_20_1120,SingleColor_green,2020.1.3,60.08453774258254,
11,0,11,0,44.42191748299956,None,b,1,0.21414176300459076,m,19,mingda_green,2020_Aug_20_1120,SingleColor_green,2020.1.3,60.08453774258254,
12,0,12,0,46.505281183999614,None,b,1,0.1698161020030966,m,19,mingda_green,2020_Aug_20_1120,SingleColor_green,2020.1.3,60.08453774258254,
13,0,13,0,48.188584604002244,None,b,1,0.27438609600358177,m,19,mingda_green,2020_Aug_20_1120,SingleColor_green,2020.1.3,60.08453774258254,
14,0,14,0,50.13852020100603,None,b,1,0.1943718490001629,m,19,mingda_green,2020_Aug_20_1120,SingleColor_green,2020.1.3,60.08453774258254,
15,0,15,0,52.08869816600054,None,b,1,0.19187921899720095,m,19,mingda_green,2020_Aug_20_1120,SingleColor_green,2020.1.3,60.08453774258254,
16,0,16,0,54.03857467399939,None,b,1,0.1710171380036627,m,19,mingda_green,2020_Aug_20_1120,SingleColor_green,2020.1.3,60.08453774258254,
17,0,17,0,55.77176897100435,None,b,1,0.2586955339938868,m,19,mingda_green,2020_Aug_20_1120,SingleColor_green,2020.1.3,60.08453774258254,
