trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,polygon_2.started,polygon_2.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,gender (m/f),age,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,15.646031768003013,None,b,1,0.2921235749963671,m,19,mingda_red,2020_Aug_20_1123,SingleColor_red,2020.1.3,59.71038885062864,
1,0,1,0,17.69557800899929,None,b,1,0.2125651509995805,m,19,mingda_red,2020_Aug_20_1123,SingleColor_red,2020.1.3,59.71038885062864,
2,0,2,0,19.862019918997248,None,b,1,0.02602314999967348,m,19,mingda_red,2020_Aug_20_1123,SingleColor_red,2020.1.3,59.71038885062864,
3,0,3,0,21.54582350599958,None,b,1,0.2661694600028568,m,19,mingda_red,2020_Aug_20_1123,SingleColor_red,2020.1.3,59.71038885062864,
4,0,4,0,23.46262737899815,None,b,1,0.2452391249971697,m,19,mingda_red,2020_Aug_20_1123,SingleColor_red,2020.1.3,59.71038885062864,
5,0,5,0,25.52923137199832,None,b,1,0.10851394000201253,m,19,mingda_red,2020_Aug_20_1123,SingleColor_red,2020.1.3,59.71038885062864,
6,0,6,0,27.462120812997455,None,b,1,0.23046947499824455,m,19,mingda_red,2020_Aug_20_1123,SingleColor_red,2020.1.3,59.71038885062864,
7,0,7,0,29.295790793999913,None,b,1,0.24569333699764684,m,19,mingda_red,2020_Aug_20_1123,SingleColor_red,2020.1.3,59.71038885062864,
8,0,8,0,31.29570282500208,None,b,1,0.2033148889968288,m,19,mingda_red,2020_Aug_20_1123,SingleColor_red,2020.1.3,59.71038885062864,
9,0,9,0,33.44530549400224,None,b,1,0.04229239500273252,m,19,mingda_red,2020_Aug_20_1123,SingleColor_red,2020.1.3,59.71038885062864,
10,0,10,0,35.34550046000368,None,b,1,0.24697165399993537,m,19,mingda_red,2020_Aug_20_1123,SingleColor_red,2020.1.3,59.71038885062864,
11,0,11,0,37.14505232300144,None,b,1,0.25125224500516197,m,19,mingda_red,2020_Aug_20_1123,SingleColor_red,2020.1.3,59.71038885062864,
12,0,12,0,39.07834866800113,None,b,1,0.2310183879963006,m,19,mingda_red,2020_Aug_20_1123,SingleColor_red,2020.1.3,59.71038885062864,
13,0,13,0,41.11165441000048,None,b,1,0.2275760429984075,m,19,mingda_red,2020_Aug_20_1123,SingleColor_red,2020.1.3,59.71038885062864,
14,0,14,0,42.96158383099828,None,b,1,0.2666981910006143,m,19,mingda_red,2020_Aug_20_1123,SingleColor_red,2020.1.3,59.71038885062864,
15,0,15,0,45.22819342200091,None,b,1,0.20083856800192734,m,19,mingda_red,2020_Aug_20_1123,SingleColor_red,2020.1.3,59.71038885062864,
16,0,16,0,47.0451591059973,None,b,1,0.257808620997821,m,19,mingda_red,2020_Aug_20_1123,SingleColor_red,2020.1.3,59.71038885062864,
17,0,17,0,49.19477805600036,None,b,1,0.2211197309952695,m,19,mingda_red,2020_Aug_20_1123,SingleColor_red,2020.1.3,59.71038885062864,
18,0,18,0,51.09468099500373,None,b,1,0.29717007499857573,m,19,mingda_red,2020_Aug_20_1123,SingleColor_red,2020.1.3,59.71038885062864,
19,0,19,0,53.34501124700182,None,b,1,0.25286949799919967,m,19,mingda_red,2020_Aug_20_1123,SingleColor_red,2020.1.3,59.71038885062864,
20,0,20,0,55.344584430000396,None,b,1,0.26189041500038,m,19,mingda_red,2020_Aug_20_1123,SingleColor_red,2020.1.3,59.71038885062864,
21,0,21,0,57.46119390200329,None,b,1,0.5093385740037775,m,19,mingda_red,2020_Aug_20_1123,SingleColor_red,2020.1.3,59.71038885062864,
22,0,22,0,59.91116254100052,None,b,1,0.08319719199789688,m,19,mingda_red,2020_Aug_20_1123,SingleColor_red,2020.1.3,59.71038885062864,
23,0,23,0,61.8276181609981,None,b,1,0.23709155700635165,m,19,mingda_red,2020_Aug_20_1123,SingleColor_red,2020.1.3,59.71038885062864,
24,0,24,0,63.960964439000236,None,b,1,0.2462339100020472,m,19,mingda_red,2020_Aug_20_1123,SingleColor_red,2020.1.3,59.71038885062864,
25,0,25,0,65.91084770399902,None,b,1,0.25627641600294737,m,19,mingda_red,2020_Aug_20_1123,SingleColor_red,2020.1.3,59.71038885062864,
26,0,26,0,68.07739257600042,None,b,1,0.11573459400096908,m,19,mingda_red,2020_Aug_20_1123,SingleColor_red,2020.1.3,59.71038885062864,
27,0,27,0,70.14397339300194,None,b,1,0.18217406600160757,m,19,mingda_red,2020_Aug_20_1123,SingleColor_red,2020.1.3,59.71038885062864,
28,0,28,0,72.12785976700252,None,b,1,0.24790629500057548,m,19,mingda_red,2020_Aug_20_1123,SingleColor_red,2020.1.3,59.71038885062864,
29,0,29,0,73.97742478299915,None,b,1,0.23531909399753204,m,19,mingda_red,2020_Aug_20_1123,SingleColor_red,2020.1.3,59.71038885062864,
30,0,30,0,75.79395024500263,None,b,1,0.4707524990008096,m,19,mingda_red,2020_Aug_20_1123,SingleColor_red,2020.1.3,59.71038885062864,
31,0,31,0,78.01104365599895,None,b,1,0.24561596199782798,m,19,mingda_red,2020_Aug_20_1123,SingleColor_red,2020.1.3,59.71038885062864,
32,0,32,0,80.0775571560007,None,b,1,0.27503992000129074,m,19,mingda_red,2020_Aug_20_1123,SingleColor_red,2020.1.3,59.71038885062864,
33,0,33,0,81.89386651499808,None,b,1,0.317528671999753,m,19,mingda_red,2020_Aug_20_1123,SingleColor_red,2020.1.3,59.71038885062864,
34,0,34,0,83.81039903499914,None,b,1,0.29388953700254206,m,19,mingda_red,2020_Aug_20_1123,SingleColor_red,2020.1.3,59.71038885062864,
35,0,35,0,86.01033647899749,None,b,1,0.17595179300406016,m,19,mingda_red,2020_Aug_20_1123,SingleColor_red,2020.1.3,59.71038885062864,
36,0,36,0,87.76047746100085,None,b,1,0.2887176179938251,m,19,mingda_red,2020_Aug_20_1123,SingleColor_red,2020.1.3,59.71038885062864,
37,0,37,0,89.59363300199766,None,b,1,0.27152641000429867,m,19,mingda_red,2020_Aug_20_1123,SingleColor_red,2020.1.3,59.71038885062864,
38,0,38,0,91.86023913499957,None,b,1,0.024823686995659955,m,19,mingda_red,2020_Aug_20_1123,SingleColor_red,2020.1.3,59.71038885062864,
39,0,39,0,93.60996897300356,None,b,1,0.2941477569984272,m,19,mingda_red,2020_Aug_20_1123,SingleColor_red,2020.1.3,59.71038885062864,
40,0,40,0,95.80992120500014,None,b,1,0.23200530500616878,m,19,mingda_red,2020_Aug_20_1123,SingleColor_red,2020.1.3,59.71038885062864,
41,0,41,0,97.64339541699883,None,b,1,0.24051504299859516,m,19,mingda_red,2020_Aug_20_1123,SingleColor_red,2020.1.3,59.71038885062864,
42,0,42,0,99.59359252000286,None,b,1,0.11710902000049828,m,19,mingda_red,2020_Aug_20_1123,SingleColor_red,2020.1.3,59.71038885062864,
43,0,43,0,101.34371371300222,None,b,1,0.16898071699688444,m,19,mingda_red,2020_Aug_20_1123,SingleColor_red,2020.1.3,59.71038885062864,
44,0,44,0,103.34360684100102,None,b,1,0.11395103999529965,m,19,mingda_red,2020_Aug_20_1123,SingleColor_red,2020.1.3,59.71038885062864,
45,0,45,0,105.00972213299974,None,b,1,0.25498441200033994,m,19,mingda_red,2020_Aug_20_1123,SingleColor_red,2020.1.3,59.71038885062864,
46,0,46,0,107.05960876800236,None,b,1,0.16278525100642582,m,19,mingda_red,2020_Aug_20_1123,SingleColor_red,2020.1.3,59.71038885062864,
47,0,47,0,109.05948174199875,None,b,1,0.21195754299697,m,19,mingda_red,2020_Aug_20_1123,SingleColor_red,2020.1.3,59.71038885062864,
48,0,48,0,111.20977454799868,None,b,1,0.029467938999005128,m,19,mingda_red,2020_Aug_20_1123,SingleColor_red,2020.1.3,59.71038885062864,
49,0,49,0,112.80966869999975,None,b,1,0.31652076300088083,m,19,mingda_red,2020_Aug_20_1123,SingleColor_red,2020.1.3,59.71038885062864,
