trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,polygon_2.started,polygon_2.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,gender (m/f),age,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,155.43346297000244,None,b,1,0.2618050249948283,m,19,mingda_yellow,2020_Aug_20_1130,SingleColor_yellow,2020.1.3,59.99808941998242,
1,0,1,0,157.38269421100267,None,b,1,0.20653565200336743,m,19,mingda_yellow,2020_Aug_20_1130,SingleColor_yellow,2020.1.3,59.99808941998242,
2,0,2,0,159.4491937720013,None,b,1,0.22891388499556342,m,19,mingda_yellow,2020_Aug_20_1130,SingleColor_yellow,2020.1.3,59.99808941998242,
3,0,3,0,161.26575385100296,None,b,1,0.1874646429932909,m,19,mingda_yellow,2020_Aug_20_1130,SingleColor_yellow,2020.1.3,59.99808941998242,
4,0,4,0,163.2489121680046,None,b,1,0.1770592079992639,m,19,mingda_yellow,2020_Aug_20_1130,SingleColor_yellow,2020.1.3,59.99808941998242,
5,0,5,0,164.96577562099992,None,b,1,0.22666555799514754,m,19,mingda_yellow,2020_Aug_20_1130,SingleColor_yellow,2020.1.3,59.99808941998242,
6,0,6,0,166.78273707700282,None,b,1,0.21226377599668922,m,19,mingda_yellow,2020_Aug_20_1130,SingleColor_yellow,2020.1.3,59.99808941998242,
7,0,7,0,168.84897727300267,None,b,1,0.3434144950006157,m,19,mingda_yellow,2020_Aug_20_1130,SingleColor_yellow,2020.1.3,59.99808941998242,
8,0,8,0,170.9824343500004,None,b,1,0.21220591699966462,m,19,mingda_yellow,2020_Aug_20_1130,SingleColor_yellow,2020.1.3,59.99808941998242,
9,0,9,0,173.1487802720003,None,b,1,0.14504316900274716,m,19,mingda_yellow,2020_Aug_20_1130,SingleColor_yellow,2020.1.3,59.99808941998242,
10,0,10,0,175.2491409810027,None,b,1,0.18447166700207163,m,19,mingda_yellow,2020_Aug_20_1130,SingleColor_yellow,2020.1.3,59.99808941998242,
11,0,11,0,177.16544572300336,None,b,1,0.2190330020021065,m,19,mingda_yellow,2020_Aug_20_1130,SingleColor_yellow,2020.1.3,59.99808941998242,
12,0,12,0,179.24880265600223,None,b,1,0.2997032260027481,m,19,mingda_yellow,2020_Aug_20_1130,SingleColor_yellow,2020.1.3,59.99808941998242,
13,0,13,0,181.1323881050048,None,b,1,0.263111939006194,m,19,mingda_yellow,2020_Aug_20_1130,SingleColor_yellow,2020.1.3,59.99808941998242,
14,0,14,0,183.26545447100216,None,b,1,0.5868813370034331,m,19,mingda_yellow,2020_Aug_20_1130,SingleColor_yellow,2020.1.3,59.99808941998242,
15,0,15,0,185.48242532600125,None,b,1,0.2506968899979256,m,19,mingda_yellow,2020_Aug_20_1130,SingleColor_yellow,2020.1.3,59.99808941998242,
16,0,16,0,187.49838427099894,None,b,1,0.21086301500326954,m,19,mingda_yellow,2020_Aug_20_1130,SingleColor_yellow,2020.1.3,59.99808941998242,
17,0,17,0,189.24838968400582,None,b,1,0.263070097003947,m,19,mingda_yellow,2020_Aug_20_1130,SingleColor_yellow,2020.1.3,59.99808941998242,
18,0,18,0,191.3655221709996,None,b,1,0.011788347001129296,m,19,mingda_yellow,2020_Aug_20_1130,SingleColor_yellow,2020.1.3,59.99808941998242,
19,0,19,0,192.9317462790059,None,b,1,0.22727418399881572,m,19,mingda_yellow,2020_Aug_20_1130,SingleColor_yellow,2020.1.3,59.99808941998242,
20,0,20,0,194.99828964200424,None,b,1,0.03666835599869955,m,19,mingda_yellow,2020_Aug_20_1130,SingleColor_yellow,2020.1.3,59.99808941998242,
21,0,21,0,196.91540963500302,None,b,1,0.1253065040000365,m,19,mingda_yellow,2020_Aug_20_1130,SingleColor_yellow,2020.1.3,59.99808941998242,
22,0,22,0,198.698240963,None,b,1,0.2502341779982089,m,19,mingda_yellow,2020_Aug_20_1130,SingleColor_yellow,2020.1.3,59.99808941998242,
23,0,23,0,200.598273333002,None,b,1,0.24542084299901035,m,19,mingda_yellow,2020_Aug_20_1130,SingleColor_yellow,2020.1.3,59.99808941998242,
24,0,24,0,202.46526277100202,None,b,1,0.22719537500233855,m,19,mingda_yellow,2020_Aug_20_1130,SingleColor_yellow,2020.1.3,59.99808941998242,
25,0,25,0,204.29844351600332,None,b,1,0.2300646660005441,m,19,mingda_yellow,2020_Aug_20_1130,SingleColor_yellow,2020.1.3,59.99808941998242,
26,0,26,0,206.33153463499912,None,b,1,0.3778848290021415,m,19,mingda_yellow,2020_Aug_20_1130,SingleColor_yellow,2020.1.3,59.99808941998242,
27,0,27,0,208.3646129500048,None,b,1,0.2005454699974507,m,19,mingda_yellow,2020_Aug_20_1130,SingleColor_yellow,2020.1.3,59.99808941998242,
28,0,28,0,210.14810043400212,None,b,1,0.011129048005386721,m,19,mingda_yellow,2020_Aug_20_1130,SingleColor_yellow,2020.1.3,59.99808941998242,
29,0,29,0,211.848257620004,None,b,1,0.1459752969967667,m,19,mingda_yellow,2020_Aug_20_1130,SingleColor_yellow,2020.1.3,59.99808941998242,
30,0,30,0,213.78152205500373,None,b,1,0.20133544100099243,m,19,mingda_yellow,2020_Aug_20_1130,SingleColor_yellow,2020.1.3,59.99808941998242,
31,0,31,0,215.81436149300134,None,b,1,0.22048854500462767,m,19,mingda_yellow,2020_Aug_20_1130,SingleColor_yellow,2020.1.3,59.99808941998242,
32,0,32,0,217.76437538300524,None,b,1,0.25462006100133294,m,19,mingda_yellow,2020_Aug_20_1130,SingleColor_yellow,2020.1.3,59.99808941998242,
33,0,33,0,219.7475342530015,None,b,1,0.09634983400610508,m,19,mingda_yellow,2020_Aug_20_1130,SingleColor_yellow,2020.1.3,59.99808941998242,
34,0,34,0,221.7311252050058,None,b,1,0.125567859999137,m,19,mingda_yellow,2020_Aug_20_1130,SingleColor_yellow,2020.1.3,59.99808941998242,
35,0,35,0,223.44753016300092,None,b,1,0.32411556800070684,m,19,mingda_yellow,2020_Aug_20_1130,SingleColor_yellow,2020.1.3,59.99808941998242,
36,0,36,0,225.73103177300072,None,b,1,0.2192129239992937,m,19,mingda_yellow,2020_Aug_20_1130,SingleColor_yellow,2020.1.3,59.99808941998242,
37,0,37,0,227.73085951800022,None,b,1,0.2487749080028152,m,19,mingda_yellow,2020_Aug_20_1130,SingleColor_yellow,2020.1.3,59.99808941998242,
38,0,38,0,229.5805984270046,None,b,1,0.2102141169962124,m,19,mingda_yellow,2020_Aug_20_1130,SingleColor_yellow,2020.1.3,59.99808941998242,
39,0,39,0,231.31386189399927,None,b,1,0.25541546800377546,m,19,mingda_yellow,2020_Aug_20_1130,SingleColor_yellow,2020.1.3,59.99808941998242,
40,0,40,0,233.41400492600224,None,b,1,0.05025724299775902,m,19,mingda_yellow,2020_Aug_20_1130,SingleColor_yellow,2020.1.3,59.99808941998242,
41,0,41,0,235.03083212899946,None,b,1,0.4433811479975702,m,19,mingda_yellow,2020_Aug_20_1130,SingleColor_yellow,2020.1.3,59.99808941998242,
42,0,42,0,237.13027264300035,None,b,1,0.19482498899742495,m,19,mingda_yellow,2020_Aug_20_1130,SingleColor_yellow,2020.1.3,59.99808941998242,
43,0,43,0,238.83043446000374,None,b,1,0.06060487999639008,m,19,mingda_yellow,2020_Aug_20_1130,SingleColor_yellow,2020.1.3,59.99808941998242,
44,0,44,0,240.64703209300205,None,b,1,0.1488561270016362,m,19,mingda_yellow,2020_Aug_20_1130,SingleColor_yellow,2020.1.3,59.99808941998242,
45,0,45,0,242.7136929219996,None,b,1,0.40319340499991085,m,19,mingda_yellow,2020_Aug_20_1130,SingleColor_yellow,2020.1.3,59.99808941998242,
46,0,46,0,244.99705739600176,None,b,1,0.20579345599981025,m,19,mingda_yellow,2020_Aug_20_1130,SingleColor_yellow,2020.1.3,59.99808941998242,
47,0,47,0,246.863923678,None,b,1,0.22283515700110001,m,19,mingda_yellow,2020_Aug_20_1130,SingleColor_yellow,2020.1.3,59.99808941998242,
48,0,48,0,249.03143519400328,None,b,1,0.364190767002583,m,19,mingda_yellow,2020_Aug_20_1130,SingleColor_yellow,2020.1.3,59.99808941998242,
49,0,49,0,251.01364168000146,None,b,1,0.2500342829953297,m,19,mingda_yellow,2020_Aug_20_1130,SingleColor_yellow,2020.1.3,59.99808941998242,
