trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,polygon_2.started,polygon_2.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,gender (m/f),age,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,699.1063861549992,None,f,1,0.41966816099738935,m,19,mingda_blue_yellow,2020_Aug_20_1143,DualColor_blue_yellow,2020.1.2,60.11465319204033,
1,0,1,0,701.2728193170042,None,j,1,0.4395433379977476,m,19,mingda_blue_yellow,2020_Aug_20_1143,DualColor_blue_yellow,2020.1.2,60.11465319204033,
2,0,2,0,703.3396284150003,None,f,1,0.3573026559970458,m,19,mingda_blue_yellow,2020_Aug_20_1143,DualColor_blue_yellow,2020.1.2,60.11465319204033,
3,0,3,0,705.5062044229999,None,f,1,0.3491169059998356,m,19,mingda_blue_yellow,2020_Aug_20_1143,DualColor_blue_yellow,2020.1.2,60.11465319204033,
4,0,4,0,707.5892132619992,None,f,1,0.31892629499634495,m,19,mingda_blue_yellow,2020_Aug_20_1143,DualColor_blue_yellow,2020.1.2,60.11465319204033,
5,0,5,0,709.5055364060026,None,f,1,0.2773994210001547,m,19,mingda_blue_yellow,2020_Aug_20_1143,DualColor_blue_yellow,2020.1.2,60.11465319204033,
6,0,6,0,711.3889477010016,None,j,1,0.3947108600041247,m,19,mingda_blue_yellow,2020_Aug_20_1143,DualColor_blue_yellow,2020.1.2,60.11465319204033,
7,0,7,0,713.4394586980052,None,f,1,0.3500351180045982,m,19,mingda_blue_yellow,2020_Aug_20_1143,DualColor_blue_yellow,2020.1.2,60.11465319204033,
8,0,8,0,715.5226984649998,None,f,1,0.3757903099976829,m,19,mingda_blue_yellow,2020_Aug_20_1143,DualColor_blue_yellow,2020.1.2,60.11465319204033,
9,0,9,0,717.6390080120036,None,f,1,0.3314104029996088,m,19,mingda_blue_yellow,2020_Aug_20_1143,DualColor_blue_yellow,2020.1.2,60.11465319204033,
10,0,10,0,719.5390559580046,None,f,1,0.29238732300291304,m,19,mingda_blue_yellow,2020_Aug_20_1143,DualColor_blue_yellow,2020.1.2,60.11465319204033,
11,0,11,0,721.6891353090032,None,f,1,0.2820228810014669,m,19,mingda_blue_yellow,2020_Aug_20_1143,DualColor_blue_yellow,2020.1.2,60.11465319204033,
12,0,12,0,723.6219762250039,None,f,1,0.2911318400001619,m,19,mingda_blue_yellow,2020_Aug_20_1143,DualColor_blue_yellow,2020.1.2,60.11465319204033,
13,0,13,0,725.5891012380016,None,f,1,0.36107667100441176,m,19,mingda_blue_yellow,2020_Aug_20_1143,DualColor_blue_yellow,2020.1.2,60.11465319204033,
