trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,polygon_2.started,polygon_2.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,gender (m/f),age,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,114.15110301000095,None,f,1,0.4336755050026113,m,19,mingda_green_blue,2020_Aug_20_1234,DualColor_green_blue,2020.1.2,59.716507228160694,
1,0,1,0,116.470657990998,None,j,1,0.37112095399788814,m,19,mingda_green_blue,2020_Aug_20_1234,DualColor_green_blue,2020.1.2,59.716507228160694,
2,0,2,0,118.72040340599779,None,j,1,0.4763408660001005,m,19,mingda_green_blue,2020_Aug_20_1234,DualColor_green_blue,2020.1.2,59.716507228160694,
3,0,3,0,120.92055744500249,None,f,1,0.379874551006651,m,19,mingda_green_blue,2020_Aug_20_1234,DualColor_green_blue,2020.1.2,59.716507228160694,
4,0,4,0,123.22067214600247,None,f,1,0.35265035000338685,m,19,mingda_green_blue,2020_Aug_20_1234,DualColor_green_blue,2020.1.2,59.716507228160694,
5,0,5,0,125.15388180399896,None,f,1,0.3385616800005664,m,19,mingda_green_blue,2020_Aug_20_1234,DualColor_green_blue,2020.1.2,59.716507228160694,
6,0,6,0,127.02033640899754,None,f,1,0.33999447600217536,m,19,mingda_green_blue,2020_Aug_20_1234,DualColor_green_blue,2020.1.2,59.716507228160694,
7,0,7,0,129.02029037700413,None,j,1,0.3608205850032391,m,19,mingda_green_blue,2020_Aug_20_1234,DualColor_green_blue,2020.1.2,59.716507228160694,
8,0,8,0,130.97039146799943,None,f,1,0.36152983699867036,m,19,mingda_green_blue,2020_Aug_20_1234,DualColor_green_blue,2020.1.2,59.716507228160694,
9,0,9,0,132.8867587729983,None,f,1,0.44425668499752646,m,19,mingda_green_blue,2020_Aug_20_1234,DualColor_green_blue,2020.1.2,59.716507228160694,
10,0,10,0,135.28682051400392,None,j,1,0.34523096599878045,m,19,mingda_green_blue,2020_Aug_20_1234,DualColor_green_blue,2020.1.2,59.716507228160694,
11,0,11,0,137.17002590600168,None,j,1,0.4370628990000114,m,19,mingda_green_blue,2020_Aug_20_1234,DualColor_green_blue,2020.1.2,59.716507228160694,
12,0,12,0,139.23659508799756,None,f,1,0.3981842159992084,m,19,mingda_green_blue,2020_Aug_20_1234,DualColor_green_blue,2020.1.2,59.716507228160694,
13,0,13,0,141.6202400120019,None,f,1,0.33259246200032067,m,19,mingda_green_blue,2020_Aug_20_1234,DualColor_green_blue,2020.1.2,59.716507228160694,
14,0,14,0,143.68663111400383,None,f,1,0.3050681050008279,m,19,mingda_green_blue,2020_Aug_20_1234,DualColor_green_blue,2020.1.2,59.716507228160694,
15,0,15,0,145.63651849800226,None,j,1,0.3721554129951983,m,19,mingda_green_blue,2020_Aug_20_1234,DualColor_green_blue,2020.1.2,59.716507228160694,
16,0,16,0,147.803139525,None,j,1,0.33332813900051406,m,19,mingda_green_blue,2020_Aug_20_1234,DualColor_green_blue,2020.1.2,59.716507228160694,
17,0,17,0,149.7868236869981,None,j,1,0.3165043400003924,m,19,mingda_green_blue,2020_Aug_20_1234,DualColor_green_blue,2020.1.2,59.716507228160694,
18,0,18,0,151.63643760800187,None,j,1,0.292865350995271,m,19,mingda_green_blue,2020_Aug_20_1234,DualColor_green_blue,2020.1.2,59.716507228160694,
19,0,19,0,153.6202274390016,None,j,1,0.28899570999783464,m,19,mingda_green_blue,2020_Aug_20_1234,DualColor_green_blue,2020.1.2,59.716507228160694,
20,0,20,0,155.50320617599937,None,f,1,0.3630588829983026,m,19,mingda_green_blue,2020_Aug_20_1234,DualColor_green_blue,2020.1.2,59.716507228160694,
21,0,21,0,157.85293327500403,None,f,1,0.49405525300244335,m,19,mingda_green_blue,2020_Aug_20_1234,DualColor_green_blue,2020.1.2,59.716507228160694,
22,0,22,0,160.1863350700005,None,f,1,0.3599321820001933,m,19,mingda_green_blue,2020_Aug_20_1234,DualColor_green_blue,2020.1.2,59.716507228160694,
23,0,23,0,162.06982812099886,None,f,1,0.28418366400001105,m,19,mingda_green_blue,2020_Aug_20_1234,DualColor_green_blue,2020.1.2,59.716507228160694,
24,0,24,0,164.13617499200336,None,f,1,0.3005580329991062,m,19,mingda_green_blue,2020_Aug_20_1234,DualColor_green_blue,2020.1.2,59.716507228160694,
25,0,25,0,166.05265489500016,None,f,1,0.29420670899708057,m,19,mingda_green_blue,2020_Aug_20_1234,DualColor_green_blue,2020.1.2,59.716507228160694,
26,0,26,0,168.33606045500346,None,f,1,0.30760720299440436,m,19,mingda_green_blue,2020_Aug_20_1234,DualColor_green_blue,2020.1.2,59.716507228160694,
27,0,27,0,170.20269052599906,None,f,1,0.3259462200003327,m,19,mingda_green_blue,2020_Aug_20_1234,DualColor_green_blue,2020.1.2,59.716507228160694,
28,0,28,0,172.35324485700403,None,j,1,0.31425200599915115,m,19,mingda_green_blue,2020_Aug_20_1234,DualColor_green_blue,2020.1.2,59.716507228160694,
29,0,29,0,174.36929836199852,None,f,1,0.3493162719969405,m,19,mingda_green_blue,2020_Aug_20_1234,DualColor_green_blue,2020.1.2,59.716507228160694,
30,0,30,0,176.2193491299986,None,j,1,0.5020736539954669,m,19,mingda_green_blue,2020_Aug_20_1234,DualColor_green_blue,2020.1.2,59.716507228160694,
31,0,31,0,178.2858685770043,None,f,1,0.3224410530019668,m,19,mingda_green_blue,2020_Aug_20_1234,DualColor_green_blue,2020.1.2,59.716507228160694,
32,0,32,0,180.5523754399983,None,f,1,0.3572821439956897,m,19,mingda_green_blue,2020_Aug_20_1234,DualColor_green_blue,2020.1.2,59.716507228160694,
33,0,33,0,182.48581478100095,None,j,1,0.36921714000345673,m,19,mingda_green_blue,2020_Aug_20_1234,DualColor_green_blue,2020.1.2,59.716507228160694,
34,0,34,0,184.78600184099923,None,f,1,0.3471646609978052,m,19,mingda_green_blue,2020_Aug_20_1234,DualColor_green_blue,2020.1.2,59.716507228160694,
35,0,35,0,187.03596417399967,None,j,1,0.357112388999667,m,19,mingda_green_blue,2020_Aug_20_1234,DualColor_green_blue,2020.1.2,59.716507228160694,
36,0,36,0,189.36859879300027,None,j,1,0.37042239899892593,m,19,mingda_green_blue,2020_Aug_20_1234,DualColor_green_blue,2020.1.2,59.716507228160694,
37,0,37,0,191.71875904400076,None,j,1,0.3331741959991632,m,19,mingda_green_blue,2020_Aug_20_1234,DualColor_green_blue,2020.1.2,59.716507228160694,
38,0,38,0,193.75210648099892,None,j,1,0.3355782060025376,m,19,mingda_green_blue,2020_Aug_20_1234,DualColor_green_blue,2020.1.2,59.716507228160694,
39,0,39,0,195.65205837100075,None,f,1,0.3575546840002062,m,19,mingda_green_blue,2020_Aug_20_1234,DualColor_green_blue,2020.1.2,59.716507228160694,
40,0,40,0,197.83510147999914,None,j,1,0.5356911649942049,m,19,mingda_green_blue,2020_Aug_20_1234,DualColor_green_blue,2020.1.2,59.716507228160694,
41,0,41,0,200.23511679699732,None,f,1,0.34975610800029244,m,19,mingda_green_blue,2020_Aug_20_1234,DualColor_green_blue,2020.1.2,59.716507228160694,
42,0,42,0,202.2017215110027,None,f,1,0.369231700002274,m,19,mingda_green_blue,2020_Aug_20_1234,DualColor_green_blue,2020.1.2,59.716507228160694,
43,0,43,0,204.25165519500297,None,f,1,0.38173719799669925,m,19,mingda_green_blue,2020_Aug_20_1234,DualColor_green_blue,2020.1.2,59.716507228160694,
44,0,44,0,206.35185664500023,None,j,1,0.382501129002776,m,19,mingda_green_blue,2020_Aug_20_1234,DualColor_green_blue,2020.1.2,59.716507228160694,
45,0,45,0,208.68504229099926,None,f,1,0.37011087300197687,m,19,mingda_green_blue,2020_Aug_20_1234,DualColor_green_blue,2020.1.2,59.716507228160694,
46,0,46,0,210.83491201900324,None,f,1,0.3222153529932257,m,19,mingda_green_blue,2020_Aug_20_1234,DualColor_green_blue,2020.1.2,59.716507228160694,
47,0,47,0,212.96849143500003,None,j,1,0.3877377019962296,m,19,mingda_green_blue,2020_Aug_20_1234,DualColor_green_blue,2020.1.2,59.716507228160694,
48,0,48,0,215.2019655910044,None,f,1,0.29686651000520214,m,19,mingda_green_blue,2020_Aug_20_1234,DualColor_green_blue,2020.1.2,59.716507228160694,
49,0,49,0,217.4515365690022,None,f,1,0.3502238729997771,m,19,mingda_green_blue,2020_Aug_20_1234,DualColor_green_blue,2020.1.2,59.716507228160694,
50,0,50,0,219.70136829600233,None,j,1,0.3494052640016889,m,19,mingda_green_blue,2020_Aug_20_1234,DualColor_green_blue,2020.1.2,59.716507228160694,
