trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,polygon_2.started,polygon_2.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,gender (m/f),age,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,180.64626841400604,None,j,1,0.5204942170021241,m,19,mingda_green_red,2020_Aug_20_1243,DualColor_green_red,2020.1.2,59.81961610132346,
1,0,1,0,182.81313555800443,None,f,1,0.3661181830029818,m,19,mingda_green_red,2020_Aug_20_1243,DualColor_green_red,2020.1.2,59.81961610132346,
2,0,2,0,185.12973004800006,None,j,1,0.5464026620029472,m,19,mingda_green_red,2020_Aug_20_1243,DualColor_green_red,2020.1.2,59.81961610132346,
3,0,3,0,187.24616189800145,None,f,1,0.4039845340012107,m,19,mingda_green_red,2020_Aug_20_1243,DualColor_green_red,2020.1.2,59.81961610132346,
4,0,4,0,189.27992386700498,None,f,1,0.343108871995355,m,19,mingda_green_red,2020_Aug_20_1243,DualColor_green_red,2020.1.2,59.81961610132346,
5,0,5,0,191.4628252600014,None,f,1,0.3156350770004792,m,19,mingda_green_red,2020_Aug_20_1243,DualColor_green_red,2020.1.2,59.81961610132346,
6,0,6,0,193.67991205500584,None,f,1,0.31408279400056927,m,19,mingda_green_red,2020_Aug_20_1243,DualColor_green_red,2020.1.2,59.81961610132346,
7,0,7,0,195.96284847700008,None,f,1,0.3322006899979897,m,19,mingda_green_red,2020_Aug_20_1243,DualColor_green_red,2020.1.2,59.81961610132346,
8,0,8,0,197.8130199300067,None,j,1,0.38878581800236134,m,19,mingda_green_red,2020_Aug_20_1243,DualColor_green_red,2020.1.2,59.81961610132346,
9,0,9,0,200.12926305900328,None,j,1,0.38085357700038003,m,19,mingda_green_red,2020_Aug_20_1243,DualColor_green_red,2020.1.2,59.81961610132346,
10,0,10,0,202.4627586620045,None,f,1,0.36485679599718424,m,19,mingda_green_red,2020_Aug_20_1243,DualColor_green_red,2020.1.2,59.81961610132346,
11,0,11,0,204.81305560300098,None,f,1,0.431371467995632,m,19,mingda_green_red,2020_Aug_20_1243,DualColor_green_red,2020.1.2,59.81961610132346,
12,0,12,0,206.96246203000192,None,j,1,0.36529955900186906,m,19,mingda_green_red,2020_Aug_20_1243,DualColor_green_red,2020.1.2,59.81961610132346,
13,0,13,0,209.12959401300031,None,j,1,0.40763113599678036,m,19,mingda_green_red,2020_Aug_20_1243,DualColor_green_red,2020.1.2,59.81961610132346,
14,0,14,0,211.2457785630031,None,j,1,0.33242739900015295,m,19,mingda_green_red,2020_Aug_20_1243,DualColor_green_red,2020.1.2,59.81961610132346,
15,0,15,0,213.5461885620025,None,f,1,0.321587932005059,m,19,mingda_green_red,2020_Aug_20_1243,DualColor_green_red,2020.1.2,59.81961610132346,
