trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,polygon_2.started,polygon_2.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,gender (m/f),age,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,21.465149315998133,None,j,1,0.5887181130019599,m,19,mingda_red_yellow,2020_Aug_20_1248,DualColor_red_yellow,2020.1.2,59.98211573253345,
1,0,1,0,23.731717144000868,None,j,1,0.3208260129977134,m,19,mingda_red_yellow,2020_Aug_20_1248,DualColor_red_yellow,2020.1.2,59.98211573253345,
2,0,2,0,25.664607252001588,None,j,1,0.28722227200341877,m,19,mingda_red_yellow,2020_Aug_20_1248,DualColor_red_yellow,2020.1.2,59.98211573253345,
3,0,3,0,27.86487441400095,None,j,1,0.25601388899667654,m,19,mingda_red_yellow,2020_Aug_20_1248,DualColor_red_yellow,2020.1.2,59.98211573253345,
4,0,4,0,29.88184755900147,None,f,1,0.3646426089981105,m,19,mingda_red_yellow,2020_Aug_20_1248,DualColor_red_yellow,2020.1.2,59.98211573253345,
5,0,5,0,32.14855575800175,None,j,1,0.40075408299890114,m,19,mingda_red_yellow,2020_Aug_20_1248,DualColor_red_yellow,2020.1.2,59.98211573253345,
6,0,6,0,34.53157873800228,None,f,1,0.3138074470043648,m,19,mingda_red_yellow,2020_Aug_20_1248,DualColor_red_yellow,2020.1.2,59.98211573253345,
7,0,7,0,36.38148914500198,None,j,1,0.25403164199815365,m,19,mingda_red_yellow,2020_Aug_20_1248,DualColor_red_yellow,2020.1.2,59.98211573253345,
8,0,8,0,38.33118367299903,None,f,1,0.5108819899978698,m,19,mingda_red_yellow,2020_Aug_20_1248,DualColor_red_yellow,2020.1.2,59.98211573253345,
9,0,9,0,40.364842804003274,None,f,1,0.3896697079981095,m,19,mingda_red_yellow,2020_Aug_20_1248,DualColor_red_yellow,2020.1.2,59.98211573253345,
10,0,10,0,42.26431683699775,None,j,1,0.3544940290012164,m,19,mingda_red_yellow,2020_Aug_20_1248,DualColor_red_yellow,2020.1.2,59.98211573253345,
11,0,11,0,44.14753769100207,None,f,1,0.4543844970030477,m,19,mingda_red_yellow,2020_Aug_20_1248,DualColor_red_yellow,2020.1.2,59.98211573253345,
12,0,12,0,46.21415478300332,None,f,1,0.33865917199727846,m,19,mingda_red_yellow,2020_Aug_20_1248,DualColor_red_yellow,2020.1.2,59.98211573253345,
13,0,13,0,48.23104061999766,None,f,1,0.3555687619955279,m,19,mingda_red_yellow,2020_Aug_20_1248,DualColor_red_yellow,2020.1.2,59.98211573253345,
14,0,14,0,50.514656612998806,None,f,1,0.3208497149971663,m,19,mingda_red_yellow,2020_Aug_20_1248,DualColor_red_yellow,2020.1.2,59.98211573253345,
15,0,15,0,52.83127229200181,None,j,1,0.3242972349980846,m,19,mingda_red_yellow,2020_Aug_20_1248,DualColor_red_yellow,2020.1.2,59.98211573253345,
16,0,16,0,54.99724226500257,None,j,1,0.29115270799957216,m,19,mingda_red_yellow,2020_Aug_20_1248,DualColor_red_yellow,2020.1.2,59.98211573253345,
17,0,17,0,56.880602757002634,None,j,0,0.2996581160041387,m,19,mingda_red_yellow,2020_Aug_20_1248,DualColor_red_yellow,2020.1.2,59.98211573253345,
18,0,18,0,58.980726150999544,None,j,1,0.32548047200543806,m,19,mingda_red_yellow,2020_Aug_20_1248,DualColor_red_yellow,2020.1.2,59.98211573253345,
19,0,19,0,61.13041537800018,None,j,1,0.2858716170012485,m,19,mingda_red_yellow,2020_Aug_20_1248,DualColor_red_yellow,2020.1.2,59.98211573253345,
