trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,polygon_2.started,polygon_2.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,gender (m/f),age,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,75.29022316000191,None,j,1,0.41730108100455254,m,19,mingda_yellow_green,2020_Aug_20_1253,DualColor_yellow_green,2020.1.2,59.84545426003377,
1,0,1,0,77.52370403399982,None,j,1,0.30665659200167283,m,19,mingda_yellow_green,2020_Aug_20_1253,DualColor_yellow_green,2020.1.2,59.84545426003377,
2,0,2,0,79.73984819100588,None,j,1,0.2685859019984491,m,19,mingda_yellow_green,2020_Aug_20_1253,DualColor_yellow_green,2020.1.2,59.84545426003377,
3,0,3,0,81.53971440299938,None,f,1,0.3134338529998786,m,19,mingda_yellow_green,2020_Aug_20_1253,DualColor_yellow_green,2020.1.2,59.84545426003377,
4,0,4,0,83.70655680200434,None,f,1,0.26242939999792725,m,19,mingda_yellow_green,2020_Aug_20_1253,DualColor_yellow_green,2020.1.2,59.84545426003377,
5,0,5,0,85.48963955300133,None,f,1,0.2994962890006718,m,19,mingda_yellow_green,2020_Aug_20_1253,DualColor_yellow_green,2020.1.2,59.84545426003377,
6,0,6,0,87.30652802300028,None,f,1,0.2766887760008103,m,19,mingda_yellow_green,2020_Aug_20_1253,DualColor_yellow_green,2020.1.2,59.84545426003377,
7,0,7,0,89.57296293599939,None,f,0,0.2386350790038705,m,19,mingda_yellow_green,2020_Aug_20_1253,DualColor_yellow_green,2020.1.2,59.84545426003377,
8,0,8,0,91.72302182600106,None,j,1,0.4425836939990404,m,19,mingda_yellow_green,2020_Aug_20_1253,DualColor_yellow_green,2020.1.2,59.84545426003377,
9,0,9,0,94.17296274100227,None,f,1,0.41668007599946577,m,19,mingda_yellow_green,2020_Aug_20_1253,DualColor_yellow_green,2020.1.2,59.84545426003377,
10,0,10,0,96.48944747399946,None,f,1,0.33404691299801925,m,19,mingda_yellow_green,2020_Aug_20_1253,DualColor_yellow_green,2020.1.2,59.84545426003377,
11,0,11,0,98.73920101200201,None,f,1,0.32138722100353334,m,19,mingda_yellow_green,2020_Aug_20_1253,DualColor_yellow_green,2020.1.2,59.84545426003377,
12,0,12,0,101.05578973299998,None,f,1,0.38565049700264353,m,19,mingda_yellow_green,2020_Aug_20_1253,DualColor_yellow_green,2020.1.2,59.84545426003377,
13,0,13,0,103.28957247500512,None,j,1,0.36774000200239243,m,19,mingda_yellow_green,2020_Aug_20_1253,DualColor_yellow_green,2020.1.2,59.84545426003377,
14,0,14,0,105.27255934099958,None,j,1,0.3068656120012747,m,19,mingda_yellow_green,2020_Aug_20_1253,DualColor_yellow_green,2020.1.2,59.84545426003377,
15,0,15,0,107.15587637499993,None,j,1,0.32712173699837876,m,19,mingda_yellow_green,2020_Aug_20_1253,DualColor_yellow_green,2020.1.2,59.84545426003377,
16,0,16,0,108.98962370400113,None,f,1,0.4059167990053538,m,19,mingda_yellow_green,2020_Aug_20_1253,DualColor_yellow_green,2020.1.2,59.84545426003377,
17,0,17,0,110.92282719700597,None,j,1,0.3693144069984555,m,19,mingda_yellow_green,2020_Aug_20_1253,DualColor_yellow_green,2020.1.2,59.84545426003377,
18,0,18,0,113.23893553500238,None,f,1,0.3915244989984785,m,19,mingda_yellow_green,2020_Aug_20_1253,DualColor_yellow_green,2020.1.2,59.84545426003377,
19,0,19,0,115.27266644100018,None,j,1,0.3803629530011676,m,19,mingda_yellow_green,2020_Aug_20_1253,DualColor_yellow_green,2020.1.2,59.84545426003377,
20,0,20,0,117.42188932600402,None,j,1,0.3949935480050044,m,19,mingda_yellow_green,2020_Aug_20_1253,DualColor_yellow_green,2020.1.2,59.84545426003377,
21,0,21,0,119.55552280900156,None,f,1,0.41637737599376123,m,19,mingda_yellow_green,2020_Aug_20_1253,DualColor_yellow_green,2020.1.2,59.84545426003377,
22,0,22,0,121.53929633700318,None,j,1,0.4025123430037638,m,19,mingda_yellow_green,2020_Aug_20_1253,DualColor_yellow_green,2020.1.2,59.84545426003377,
23,0,23,0,123.9225428800055,None,j,1,0.3793863609971595,m,19,mingda_yellow_green,2020_Aug_20_1253,DualColor_yellow_green,2020.1.2,59.84545426003377,
24,0,24,0,126.23887372700119,None,f,1,0.4483460319970618,m,19,mingda_yellow_green,2020_Aug_20_1253,DualColor_yellow_green,2020.1.2,59.84545426003377,
25,0,25,0,128.5890960310062,None,j,1,0.4224443959974451,m,19,mingda_yellow_green,2020_Aug_20_1253,DualColor_yellow_green,2020.1.2,59.84545426003377,
26,0,26,0,130.7552366470045,None,f,1,0.3670232570002554,m,19,mingda_yellow_green,2020_Aug_20_1253,DualColor_yellow_green,2020.1.2,59.84545426003377,
27,0,27,0,132.93852582399995,None,j,1,0.43858479500340763,m,19,mingda_yellow_green,2020_Aug_20_1253,DualColor_yellow_green,2020.1.2,59.84545426003377,
28,0,28,0,135.1553946740023,None,f,1,0.3189019540004665,m,19,mingda_yellow_green,2020_Aug_20_1253,DualColor_yellow_green,2020.1.2,59.84545426003377,
29,0,29,0,137.25554493000527,None,j,1,0.33161950200155843,m,19,mingda_yellow_green,2020_Aug_20_1253,DualColor_yellow_green,2020.1.2,59.84545426003377,
30,0,30,0,139.4886161060058,None,j,1,0.3475139419970219,m,19,mingda_yellow_green,2020_Aug_20_1253,DualColor_yellow_green,2020.1.2,59.84545426003377,
31,0,31,0,141.47150949200295,None,f,1,0.3658906759956153,m,19,mingda_yellow_green,2020_Aug_20_1253,DualColor_yellow_green,2020.1.2,59.84545426003377,
32,0,32,0,143.65468603100453,None,j,1,0.355332681996515,m,19,mingda_yellow_green,2020_Aug_20_1253,DualColor_yellow_green,2020.1.2,59.84545426003377,
33,0,33,0,145.6048095120059,None,j,1,0.44695093399786856,m,19,mingda_yellow_green,2020_Aug_20_1253,DualColor_yellow_green,2020.1.2,59.84545426003377,
34,0,34,0,147.70526168200013,None,f,1,0.5902497130009579,m,19,mingda_yellow_green,2020_Aug_20_1253,DualColor_yellow_green,2020.1.2,59.84545426003377,
35,0,35,0,150.0713284060039,None,f,1,0.5781898330023978,m,19,mingda_yellow_green,2020_Aug_20_1253,DualColor_yellow_green,2020.1.2,59.84545426003377,
36,0,36,0,152.30515203899995,None,j,1,0.3966182040021522,m,19,mingda_yellow_green,2020_Aug_20_1253,DualColor_yellow_green,2020.1.2,59.84545426003377,
37,0,37,0,154.57105144100206,None,f,1,0.5354208119970281,m,19,mingda_yellow_green,2020_Aug_20_1253,DualColor_yellow_green,2020.1.2,59.84545426003377,
38,0,38,0,157.03774321899982,None,f,1,0.442839791001461,m,19,mingda_yellow_green,2020_Aug_20_1253,DualColor_yellow_green,2020.1.2,59.84545426003377,
39,0,39,0,159.28790978799952,None,f,1,0.4722877640015213,m,19,mingda_yellow_green,2020_Aug_20_1253,DualColor_yellow_green,2020.1.2,59.84545426003377,
40,0,40,0,161.4377209680024,None,f,1,0.31843496399960713,m,19,mingda_yellow_green,2020_Aug_20_1253,DualColor_yellow_green,2020.1.2,59.84545426003377,
41,0,41,0,163.57088614700479,None,f,1,0.32626264399732463,m,19,mingda_yellow_green,2020_Aug_20_1253,DualColor_yellow_green,2020.1.2,59.84545426003377,
