Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,Name,Trial,Circle Size (degrees),Experiment Name,Background Color
"[255, 255, 0]",0,20,0.3049111070056679,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",2,10,0.2868981429997948,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",2,10,0.3489046950066113,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",0,20,0.40084941499924753,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",0,20,0.35349842299608281,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",0,20,0.373884817002515774,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",2,20,0.403881369997980073,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",2,20,0.29538134000025457,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",0,0,0.31314568799402332,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",0,20,0.34883187200466637,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",2,20,0.3093536880044267,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",0,0,0.3746043510017917,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",2,0,0.3137678100009216,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",0,20,0.2766327730020857,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",2,0,0.23048714000341715,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",2,20,0.2320864889972145,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",0,0,0.350776499999105,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",2,20,0.3752033119975822,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",0,0,0.3344610710046254,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",0,10,0.3953834899972426,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",0,10,0.2977189980054973,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",2,0,0.2642222090004943,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",2,0,0.28597327299893368,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",2,10,0.3338967190029216,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",2,20,0.40295915999857243,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",0,20,0.3554239400055958,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",2,10,0.3672201279992005,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",2,10,0.405042823995405342,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",2,0,0.24158911500225076,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",0,20,0.34360371799761197,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",0,0,0.2896087370044552,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",0,0,0.27128634400235023,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",0,0,0.37629060899687465,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",2,20,0.3623409539968707,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",2,10,0.27433692600385984,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",0,20,0.2508703429957386,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",0,10,0.20008828300156165,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",0,0,0.3604604590010713,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",2,10,0.33220705799752614,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",2,10,0.3567864659985062,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",2,20,0.4172287710009259,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",0,0,0.2793563069953816,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",0,10,0.26391332600498572,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",2,20,0.327234441000444349,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",2,20,0.3726728590010316,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",0,0,0.36433814099390293,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",0,10,0.3371343049989664,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",2,20,0.38966724099923158,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",2,10,0.38792184100073064,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",0,0,0.2592328460019198,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",2,0,0.3173508799992269,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",0,20,0.352273846997122746,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",2,0,0.28223722200089833,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",2,20,0.4189578749949578,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",2,0,0.3241967809985508,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",0,10,0.2605957859955961,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",2,20,0.25213369399710791,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",2,10,0.2167926740044495,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",2,0,0.35480874099984067,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",2,20,0.3545021879991982,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",2,20,0.35983773499476956,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",0,0,0.3796495050021331,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",0,10,0.3011965820027399,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",0,20,0.28592216399515746,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",2,0,0.27244025800045347,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",2,10,0.35440632699715206,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",2,10,0.3864785389971221,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",2,0,0.3199255249961279,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",0,10,0.3710028370008222,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",0,0,0.3897714769993327,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",0,20,0.28585474700015038,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",2,0,0.31993391099956352,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",2,20,0.33310710899461992,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",0,20,0.324122017997608,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",0,10,0.40020190400065621,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",2,20,0.36608929599664407,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",2,0,0.2580017670037923,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",2,20,0.2767093959970516,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",0,20,0.22472516399767483,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",0,10,0.3767876519993879,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",2,0,0.34190143600141164,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",0,0,0.34041690700536128,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",2,0,0.38139516700420063,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",2,10,0.3224939990023267,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",0,20,0.28700337799894623,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",0,20,0.33176333999581402,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",2,20,0.35965761699638097,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",2,10,0.388952365003468,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",0,20,0.3617720469982596,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",0,10,0.361841772000538185,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",0,10,0.39131678900134284,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",2,10,0.28351011999993352,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",0,0,0.3213753760011168,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",2,20,0.33549563199974364,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",2,20,0.31745068100310164,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",2,10,0.4026283069960191,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",0,0,0.32147687200567452,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",0,0,0.260883298003755,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",2,10,0.23644743700162508,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",0,10,0.2201455899984576,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",2,10,0.3786005499970051,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",0,20,0.35897075499757193,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",2,10,0.3437956139991875,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",0,0,0.4025269120056764,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",2,20,0.32512725999881513,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",2,20,0.3051523769996711,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",0,20,0.4021457699955208,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",0,20,0.360066899996076245,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",0,10,0.36114455000014277,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",2,0,0.3386157830007724,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",0,10,0.2855038619937259,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",0,0,0.3628095759988646,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",0,0,0.33561403999617323,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",2,0,0.341192747994849924,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",2,10,0.35820279899914749,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",2,0,0.26596793800010346,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",2,10,0.3667582890028134,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",2,0,0.335653548000264,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",2,0,0.353774847001419403,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",2,10,0.3587440009993734,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",0,20,0.30557373000279767,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",2,20,0.4026628060034127,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",0,10,0.3404622429974843,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",2,20,0.3936400559990434,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",0,10,0.3412753220036393,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",2,0,0.2884307990016532,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",0,0,0.34610862700123107,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",2,10,0.34080734599888092,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",0,0,0.3417358689994435,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",0,20,0.37862477100506658,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",2,10,0.28552402600320056,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",0,20,0.38638314199791057,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",2,20,0.37518791899923235,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",0,10,0.3616629330035066,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",2,0,0.33830516200396232,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",2,10,0.3085812569994014,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",2,20,0.402467018000781536,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",0,0,0.3202899069999694,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",0,10,0.3619061039931257,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",0,20,0.3617347509940155,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",0,0,0.2881119559982326,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",0,10,0.38288872799946694,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",0,20,0.36045509900088655,1,Mingda,1,8,YG,BLACK
"[0, 255, 0]",0,0,0.341896664999309,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",2,10,0.3587387619970832,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",0,20,0.3283327839957783,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",2,0,0.36268724200007273,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",0,0,0.33517774200293934,1,Mingda,1,8,YG,BLACK
"[255, 255, 0]",2,0,0.3532942610026803,1,Mingda,1,8,YG,BLACK
