Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,Name,Trial,Circle Size (degrees),Experiment Name,Background Color
"[255, 255, 0]",0,20,1.7133596249987022,0,Mingda,1,8,BY,BLACK
"[255, 255, 0]",2,20,0.7571710409974912,0,Mingda,1,8,BY,BLACK
"[255, 255, 0]",2,20,0.021694889997888822,0,Mingda,1,8,BY,BLACK
"[255, 255, 0]",2,20,0.43796907700016163,0,Mingda,1,8,BY,BLACK
"[0, 0, 255]",2,10,0.12791718599328306,1,Mingda,1,8,BY,BLACK
"[255, 255, 0]",2,0,0.48454921399388695,0,Mingda,1,8,BY,BLACK
"[0, 0, 255]",0,20,0.6286972840025555,1,Mingda,1,8,BY,BLACK
"[255, 255, 0]",2,20,0.5256278070010012,0,Mingda,1,8,BY,BLACK
"[255, 255, 0]",0,20,0.24064880600053584,0,Mingda,1,8,BY,BLACK
"[255, 255, 0]",0,10,0.23434644699591445,0,Mingda,1,8,BY,BLACK
"[255, 255, 0]",2,10,0.2894231949976529,0,Mingda,1,8,BY,BLACK
"[255, 255, 0]",0,0,0.0029585380034404807,0,Mingda,1,8,BY,BLACK
"[255, 255, 0]",2,10,0.08765709200088168,0,Mingda,1,8,BY,BLACK
"[255, 255, 0]",0,0,0.4607705899979919,0,Mingda,1,8,BY,BLACK
"[0, 0, 255]",0,20,0.6678855319987633,1,Mingda,1,8,BY,BLACK
"[255, 255, 0]",0,0,0.005787125002825633,0,Mingda,1,8,BY,BLACK
"[255, 255, 0]",2,0,0.4729619920035475,0,Mingda,1,8,BY,BLACK
"[0, 0, 255]",2,10,0.30859860999771627,1,Mingda,1,8,BY,BLACK
"[255, 255, 0]",2,10,0.20158634900144534,0,Mingda,1,8,BY,BLACK
"[0, 0, 255]",2,10,0.05020024300029036,1,Mingda,1,8,BY,BLACK
"[0, 0, 255]",0,10,0.11087014600343537,1,Mingda,1,8,BY,BLACK
"[0, 0, 255]",2,0,0.13589112699992256,1,Mingda,1,8,BY,BLACK
"[255, 255, 0]",2,0,0.607333871004812,0,Mingda,1,8,BY,BLACK
"[255, 255, 0]",2,20,0.40478988399991067,0,Mingda,1,8,BY,BLACK
"[0, 0, 255]",2,10,0.08619929300039075,1,Mingda,1,8,BY,BLACK
"[0, 0, 255]",0,10,0.06640727899502963,1,Mingda,1,8,BY,BLACK
"[255, 255, 0]",0,10,0.6200153240060899,0,Mingda,1,8,BY,BLACK
"[255, 255, 0]",0,20,0.32434754700079793,0,Mingda,1,8,BY,BLACK
"[255, 255, 0]",2,10,0.020930172999214847,0,Mingda,1,8,BY,BLACK
"[255, 255, 0]",0,0,0.6080571059937938,0,Mingda,1,8,BY,BLACK
"[0, 0, 255]",2,0,0.04708820000087144,1,Mingda,1,8,BY,BLACK
"[255, 255, 0]",2,10,0.02551741299976129,0,Mingda,1,8,BY,BLACK
"[0, 0, 255]",2,10,0.753911371997674,1,Mingda,1,8,BY,BLACK
"[255, 255, 0]",0,0,0.7639839340045,0,Mingda,1,8,BY,BLACK
