Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,Name,Trial,Circle Size (degrees),Experiment Name,Background Color
"[255, 0, 0]",2,0,2.201220081995416,0,Mingda,1,8,YR,BLACK
"[255, 255, 0]",0,0,0.2732207860026392,1,Mingda,1,8,YR,BLACK
"[255, 255, 0]",2,0,0.48978994299977785,1,Mingda,1,8,YR,BLACK
"[255, 0, 0]",0,20,0.1608132339970325,0,Mingda,1,8,YR,BLACK
"[255, 255, 0]",2,10,0.9146054180018837,1,Mingda,1,8,YR,BLACK
"[255, 0, 0]",0,0,0.6893305949997739,0,Mingda,1,8,YR,BLACK
"[255, 0, 0]",0,20,0.7992534919976606,0,Mingda,1,8,YR,BLACK
"[255, 255, 0]",0,20,0.900029620002897,1,Mingda,1,8,YR,BLACK
"[255, 0, 0]",2,10,0.06891868999809958,0,Mingda,1,8,YR,BLACK
"[255, 255, 0]",0,10,0.2146013310048147,1,Mingda,1,8,YR,BLACK
"[255, 0, 0]",0,20,0.002916831996117253,0,Mingda,1,8,YR,BLACK
"[255, 0, 0]",2,0,0.09884198700456182,0,Mingda,1,8,YR,BLACK
"[255, 255, 0]",0,10,0.5174124639961519,1,Mingda,1,8,YR,BLACK
"[255, 0, 0]",0,0,0.0785894769942388,0,Mingda,1,8,YR,BLACK
"[255, 0, 0]",0,0,0.5202512370015029,0,Mingda,1,8,YR,BLACK
"[255, 0, 0]",2,20,0.6838661830042838,0,Mingda,1,8,YR,BLACK
"[255, 255, 0]",0,10,0.0672148619996733,1,Mingda,1,8,YR,BLACK
"[255, 0, 0]",0,10,0.4237130219989922,0,Mingda,1,8,YR,BLACK
"[255, 0, 0]",2,20,0.18776392000290798,0,Mingda,1,8,YR,BLACK
"[255, 255, 0]",2,20,0.8072032619966194,1,Mingda,1,8,YR,BLACK
"[255, 255, 0]",2,20,0.03212070100562414,1,Mingda,1,8,YR,BLACK
"[255, 255, 0]",0,0,0.44310052299988456,1,Mingda,1,8,YR,BLACK
"[255, 0, 0]",2,20,0.33061257599911187,0,Mingda,1,8,YR,BLACK
"[255, 0, 0]",0,20,0.13015999200433725,0,Mingda,1,8,YR,BLACK
"[255, 0, 0]",0,0,0.2554851970053278,0,Mingda,1,8,YR,BLACK
"[255, 0, 0]",0,0,0.8758478960007778,0,Mingda,1,8,YR,BLACK
"[255, 0, 0]",0,0,0.6414601969954674,0,Mingda,1,8,YR,BLACK
"[255, 0, 0]",0,10,0.3535575549976784,0,Mingda,1,8,YR,BLACK
"[255, 0, 0]",2,10,0.06319051000173204,0,Mingda,1,8,YR,BLACK
"[255, 0, 0]",2,20,0.289874588001112,0,Mingda,1,8,YR,BLACK
"[255, 0, 0]",0,0,0.5402172829999472,0,Mingda,1,8,YR,BLACK
"[255, 0, 0]",0,0,0.20783212600508705,0,Mingda,1,8,YR,BLACK
"[255, 255, 0]",2,0,0.29319304400269175,1,Mingda,1,8,YR,BLACK
"[255, 0, 0]",0,0,0.45646459300041897,0,Mingda,1,8,YR,BLACK
"[255, 0, 0]",0,10,0.43062171400379157,0,Mingda,1,8,YR,BLACK
"[255, 255, 0]",2,0,0.04929458999686176,1,Mingda,1,8,YR,BLACK
"[255, 255, 0]",2,10,0.37430199299706146,1,Mingda,1,8,YR,BLACK
"[255, 0, 0]",0,10,0.14277065100031905,0,Mingda,1,8,YR,BLACK
"[255, 255, 0]",0,10,0.19503029900079127,1,Mingda,1,8,YR,BLACK
"[255, 255, 0]",0,10,0.7121827059963834,1,Mingda,1,8,YR,BLACK
"[255, 255, 0]",0,0,0.1428186970006209,1,Mingda,1,8,YR,BLACK
"[255, 255, 0]",0,20,0.07584711100207642,1,Mingda,1,8,YR,BLACK
"[255, 255, 0]",2,20,0.34167287000309443,1,Mingda,1,8,YR,BLACK
"[255, 0, 0]",2,20,0.9153295750002144,0,Mingda,1,8,YR,BLACK
"[255, 0, 0]",0,0,0.15004188400052954,0,Mingda,1,8,YR,BLACK
"[255, 255, 0]",0,10,0.20834286999888718,1,Mingda,1,8,YR,BLACK
"[255, 255, 0]",2,10,0.10545090800587786,1,Mingda,1,8,YR,BLACK
"[255, 255, 0]",2,0,0.2796955430021626,1,Mingda,1,8,YR,BLACK
"[255, 255, 0]",2,20,0.3675105519942008,1,Mingda,1,8,YR,BLACK
"[255, 255, 0]",2,0,0.6791604429963627,1,Mingda,1,8,YR,BLACK
"[255, 0, 0]",2,0,0.58815471699927,0,Mingda,1,8,YR,BLACK
"[255, 255, 0]",0,10,0.15361570700042648,1,Mingda,1,8,YR,BLACK
"[255, 255, 0]",2,20,0.18337479299952975,1,Mingda,1,8,YR,BLACK
"[255, 0, 0]",2,0,0.11870982700202148,0,Mingda,1,8,YR,BLACK
"[255, 255, 0]",2,10,0.07587893099844223,1,Mingda,1,8,YR,BLACK
"[255, 0, 0]",2,20,0.40127942799881566,0,Mingda,1,8,YR,BLACK
"[255, 255, 0]",0,20,0.39531777999945916,1,Mingda,1,8,YR,BLACK
"[255, 255, 0]",2,0,0.8152617829982773,1,Mingda,1,8,YR,BLACK
"[255, 0, 0]",2,20,0.1908509819986648,0,Mingda,1,8,YR,BLACK
"[255, 255, 0]",0,10,0.07978980700136162,1,Mingda,1,8,YR,BLACK
"[255, 0, 0]",2,0,0.2472769310043077,0,Mingda,1,8,YR,BLACK
"[255, 0, 0]",2,20,0.016087166004581377,0,Mingda,1,8,YR,BLACK
"[255, 0, 0]",2,0,0.08389952700235881,0,Mingda,1,8,YR,BLACK
"[255, 255, 0]",2,0,0.7670896880008513,1,Mingda,1,8,YR,BLACK
"[255, 255, 0]",2,10,0.14920553100091638,1,Mingda,1,8,YR,BLACK
"[255, 0, 0]",0,20,0.6614696559990989,0,Mingda,1,8,YR,BLACK
"[255, 0, 0]",0,10,0.3117658679984743,0,Mingda,1,8,YR,BLACK
"[255, 0, 0]",2,20,0.050912935999804176,0,Mingda,1,8,YR,BLACK
"[255, 255, 0]",2,0,0.29574292799952673,1,Mingda,1,8,YR,BLACK
"[255, 255, 0]",2,10,0.23918194200086873,1,Mingda,1,8,YR,BLACK
"[255, 0, 0]",0,0,0.47494579699559836,0,Mingda,1,8,YR,BLACK
"[255, 255, 0]",0,0,0.051910194000811316,1,Mingda,1,8,YR,BLACK
"[255, 255, 0]",0,0,0.6078268740020576,1,Mingda,1,8,YR,BLACK
"[255, 255, 0]",2,20,0.38080401500337757,1,Mingda,1,8,YR,BLACK
"[255, 0, 0]",2,20,0.5638375109992921,0,Mingda,1,8,YR,BLACK
"[255, 0, 0]",0,20,0.45175544299854664,0,Mingda,1,8,YR,BLACK
"[255, 0, 0]",0,10,0.4327661520001129,0,Mingda,1,8,YR,BLACK
"[255, 0, 0]",0,10,0.07667951199982781,0,Mingda,1,8,YR,BLACK
"[255, 0, 0]",0,20,0.06451693000417436,0,Mingda,1,8,YR,BLACK
"[255, 0, 0]",2,20,0.35798601099668304,0,Mingda,1,8,YR,BLACK
"[255, 0, 0]",0,0,0.2476085470043472,0,Mingda,1,8,YR,BLACK
"[255, 0, 0]",0,20,0.5217186790032429,0,Mingda,1,8,YR,BLACK
"[255, 255, 0]",0,20,0.024823831001413055,1,Mingda,1,8,YR,BLACK
"[255, 0, 0]",2,10,0.2605070669960696,0,Mingda,1,8,YR,BLACK
"[255, 0, 0]",2,20,0.3538020220003091,0,Mingda,1,8,YR,BLACK
"[255, 255, 0]",2,10,0.32509016599942697,1,Mingda,1,8,YR,BLACK
"[255, 0, 0]",2,10,0.5977381859993329,0,Mingda,1,8,YR,BLACK
"[255, 0, 0]",0,0,0.6846148289987468,0,Mingda,1,8,YR,BLACK
"[255, 0, 0]",0,20,0.8491149159963243,0,Mingda,1,8,YR,BLACK
"[255, 255, 0]",2,20,0.4497500389989,1,Mingda,1,8,YR,BLACK
"[255, 255, 0]",2,20,0.22432877399842255,1,Mingda,1,8,YR,BLACK
"[255, 255, 0]",2,0,0.4978452460054541,1,Mingda,1,8,YR,BLACK
"[255, 255, 0]",2,0,0.7362302440014901,1,Mingda,1,8,YR,BLACK
"[255, 0, 0]",0,10,0.5196566650047316,0,Mingda,1,8,YR,BLACK
"[255, 255, 0]",2,0,0.6501877769987914,1,Mingda,1,8,YR,BLACK
"[255, 255, 0]",2,0,0.29955047099792864,1,Mingda,1,8,YR,BLACK
"[255, 255, 0]",2,10,0.34265350400528405,1,Mingda,1,8,YR,BLACK
"[255, 255, 0]",0,20,0.2748914080002578,1,Mingda,1,8,YR,BLACK
"[255, 255, 0]",2,10,0.14323417299601715,1,Mingda,1,8,YR,BLACK
"[255, 0, 0]",2,10,0.018456384001183324,0,Mingda,1,8,YR,BLACK
"[255, 0, 0]",2,10,0.137012314000458,0,Mingda,1,8,YR,BLACK
"[255, 255, 0]",2,20,0.2048921910027275,1,Mingda,1,8,YR,BLACK
"[255, 255, 0]",0,20,0.10317922200192697,1,Mingda,1,8,YR,BLACK
"[255, 0, 0]",0,20,0.7593549279990839,0,Mingda,1,8,YR,BLACK
"[255, 0, 0]",2,20,0.13651226300135022,0,Mingda,1,8,YR,BLACK
"[255, 0, 0]",0,0,0.1864852790022269,0,Mingda,1,8,YR,BLACK
"[255, 0, 0]",2,0,0.28596988700155634,0,Mingda,1,8,YR,BLACK
"[255, 255, 0]",0,10,0.27903740700276103,1,Mingda,1,8,YR,BLACK
"[255, 0, 0]",0,10,0.07767424399935408,0,Mingda,1,8,YR,BLACK
"[255, 255, 0]",0,0,0.040668410998478066,1,Mingda,1,8,YR,BLACK
